"","sciname","common","SpecCode","Resilience"
"477","Panulirus longipes","Longlegged spiny lobster",NA,NA
"478","Paralabrax humeralis","Peruvian rock seabass",352,"Medium"
"479","Paralabrax maculatofasciatus","Spotted sand bass",3336,"Medium"
"480","Paralichthys dentatus","Summer flounder",1338,"Medium"
"481","Paralichthys microps","Paralichthys microps",54963,"Medium"
"482","Paralichthys olivaceus","Bastard halibut",1351,"Medium"
"483","Paralithodes brevipes","Spiny king crab",NA,NA
"484","Paralithodes camtschaticus","Red king crab",NA,NA
"485","Paralithodes platypus","Blue king crab",NA,NA
"486","Paralomis granulosa","Softshell red crab",NA,NA
"487","Paralonchurus brasiliensis","Banded croaker",1187,"High"
"488","Paralonchurus peruanus","Peruvian banded croaker",424,"Medium"
"489","Parapenaeopsis hardwickii","Spear shrimp",NA,NA
"490","Parapenaeopsis sculptilis","Rainbow shrimp",NA,NA
"491","Parapenaeopsis stylifera","Kiddi shrimp",NA,"High"
"492","Parapenaeopsis uncta","Uncta shrimp",NA,NA
"493","Parapenaeus longirostris","Deepwater rose shrimp",NA,"High"
"494","Parapercis colias","New Zealand blue cod",464,"Medium"
"495","Parapristipoma trilineatum","Chicken grunt",4584,"Medium"
"496","Parastromateus niger","Black pomfret",1947,"Medium"
"497","Parona signata","Parona leatherjacket",386,"Medium"
"498","Pastinachus sephen","Cowtail stingray",8203,"Very low"
"499","Patagonotothen guntheri","Yellowfin notothen",54742,"Medium"
"500","Patagonotothen ramsayi","Longtail southern cod",10308,"Medium"
"501","Patinopecten caurinus","Weathervane scallop",NA,NA
"502","Pecten maximus","Great Atlantic scallop",NA,NA
"503","Pecten novaezelandiae","New Zealand scallop",NA,"High"
"504","Pelates quadrilineatus","Fourlined terapon",7945,"High"
"505","Pellona harroweri","American coastal pellona",1643,"High"
"506","Penaeus kerathurus","Caramote prawn",NA,NA
"507","Penaeus monodon","Giant tiger prawn",NA,"High"
"508","Penaeus penicillatus","Redtail prawn",NA,NA
"509","Penaeus semisulcatus","Green tiger prawn",NA,"High"
"510","Pennahia argentata","Silver croaker",434,"High"
"511","Pentanemus quinquarius","Royal threadfin",342,"High"
"512","Pentheroscion mbizi","Mbizi croaker",5000,"Medium"
"513","Peprilus triacanthus","Atlantic butterfish",492,"High"
"514","Perca fluviatilis","European perch",358,"Low"
"515","Percophis brasiliensis","Brazilian flathead",465,"Medium"
"516","Perna canaliculus","New Zealand green mussel",NA,NA
"517","Perna viridis","Brown mussel",NA,NA
"518","Petromyzon marinus","Sea lamprey",2530,"Low"
"519","Photopectoralis bindus","Orangefin ponyfish",4449,"High"
"520","Phycis phycis","Forkbeard",1747,"Medium"
"521","Placopecten magellanicus","American sea scallop",NA,NA
"522","Platycephalus indicus","Bartail flathead",950,"Medium"
"523","Plectorhinchus macrolepis","Biglip grunt",9908,"Medium"
"524","Plectorhinchus mediterraneus","Rubberlip grunt",398,"Medium"
"525","Pleoticus muelleri","Argentine red shrimp",NA,"High"
"526","Plesionika trispinus","Pacific deepwater shrimp",NA,NA
"527","Pleurogrammus azonus","Okhotsk atka mackerel",510,"Medium"
"528","Pleurogrammus monopterygius","Atka mackerel",4037,"Low"
"529","Pleuroncodes monodon","Squat Lobster",NA,NA
"530","Pogonias cromis","Black drum",425,"Medium"
"531","Pollachius pollachius","Pollack",34,"Medium"
"532","Polydactylus quadrifilis","Giant African threadfin",5002,"Medium"
"533","Polynemus paradiseus","Paradise threadfin",8318,"High"
"534","Pomadasys incisus","Bastard grunt",5003,"Medium"
"535","Pomadasys jubelini","Sompat grunt",4708,"Medium"
"536","Pomadasys kaakan","Javelin grunter",6006,"Medium"
"537","Pomadasys rogerii","Pigsnout grunt",5004,"Medium"
"538","Pomadasys stridens","Striped piggy",7708,"Medium"
"539","Pomatomus saltatrix","Bluefish",364,"Medium"
"540","Porichthys analis","Darkedge midshipman",13547,"Medium"
"541","Porichthys margaritatus","Daisy midshipman",8220,"Medium"
"542","Porichthys porosissimus","South American toadfish",12925,"Medium"
"543","Portunus pelagicus","Blue swimming crab",NA,"High"
"544","Portunus trituberculatus","Gazami crab",NA,"High"
"545","Portunus xantusii","Xantus swimcrab",NA,NA
"546","Priacanthus arenatus","Atlantic bigeye",1149,"High"
"547","Priacanthus macracanthus","Red bigeye",356,"Medium"
"548","Prionace glauca","Blue shark",898,"Low"
"549","Prionotus stephanophrys","Lumptail searobin",4029,"Medium"
"550","Protonibea diacanthus","Blackspotted croaker",4571,"Medium"
"551","Psenopsis anomala","Pacific rudderfish",497,"Medium"
"552","Psettodes erumei","Indian halibut",513,"Medium"
"553","Pseudobatos planiceps","Pacific guitarfish",149,"Low"
"554","Pseudopercis semifasciata","Argentinian sandperch",50136,"Low"
"555","Pseudophycis bachus","Red codling",2020,"Medium"
"556","Pseudopleuronectes americanus","Winter flounder",524,"Medium"
"557","Pseudopleuronectes herzensteini","Yellow striped flounder",8556,"Medium"
"558","Pseudotolithus elongatus","Bobo croaker",433,"Medium"
"559","Pseudotolithus senegalensis","Cassava croaker",432,"Medium"
"560","Pseudotolithus senegallus","Law croaker",5009,"Low"
"561","Pseudotolithus typus","Longneck croaker",4550,"Medium"
"562","Pseudupeneus prayensis","West African goatfish",453,"High"
"563","Pterogymnus laniarius","Panga seabream",448,"Low"
"564","Pteroscion peli","Boe drum",423,"Medium"
"565","Pterotolithus maculatus","Blotched tiger-toothed croaker",8393,"Medium"
"566","Pyura chilensis","Red sea squirt",NA,NA
"567","Rachycentron canadum","Cobia",3542,"Medium"
"568","Raja clavata","Thornback ray",2059,"Low"
"569","Rastrelliger brachysoma","Short mackerel",109,"High"
"570","Rastrelliger kanagurta","Indian mackerel",111,"Medium"
"571","Rexea solandri","Silver gemfish",8490,"Medium"
"572","Rhabdosargus sarba","Goldlined seabream",5368,"Medium"
"573","Rhinobatos percellens","Chola guitarfish",NA,NA
"574","Rhizoprionodon terraenovae","Atlantic sharpnose shark",905,"Very low"
"575","Rhizostoma pulmo","Barrel jellyfish",NA,NA
"576","Rhizostomeae","Oral arm jellyfishes",NA,NA
"577","Rhomboplites aurorubens","Vermilion snapper",213,"Medium"
"578","Ruditapes philippinarum","Japanese carpet shell",NA,NA
"579","Rutilus rutilus","Roach",272,"Medium"
"580","Ruvettus pretiosus","Oilfish",1044,"Low"
"581","Salilota australis","Tadpole codling",306,"Medium"
"582","Salmo salar","Atlantic salmon",236,NA
"583","Salvelinus alpinus alpinus","Arctic char",NA,NA
"584","Sander lucioperca","Pike-perch",360,"Low"
"585","Sarda chiliensis lineolata","Pacific bonito",NA,NA
"586","Sarda chiliensis","Eastern Pacific bonito",113,"Medium"
"587","Sarda sarda","Atlantic bonito",115,"Medium"
"588","Sardinella albella","White sardinella",1502,"High"
"589","Sardinella aurita","Round sardinella",1043,"High"
"590","Sardinella brasiliensis","Brazilian sardinella",1505,"High"
"591","Sardinella fimbriata","Fringescale sardinella",1507,"High"
"592","Sardinella gibbosa","Goldstripe sardinella",1508,"High"
"593","Sardinella lemuru","Bali sardinella",1510,"High"
"594","Sardinella longiceps","Indian oil sardine",1511,"Medium"
"595","Sardinella maderensis","Madeiran sardinella",1047,"Medium"
"596","Sardinella sindensis","Sind sardinella",1517,"High"
"597","Sardinella zunasi","Japanese sardinella",1519,"High"
"598","Sardinops sagax","South American pilchard",1477,"Medium"
"599","Sarpa salpa","Salema",204,"Low"
"600","Saurida tumbil","Greater lizardfish",6479,"Medium"
"601","Sciades parkeri","Gillbacker sea catfish",952,"High"
"602","Sciades proops","Crucifix sea catfish",955,"High"
"603","Sciaenops ocellatus","Red drum",1191,"Medium"
"604","Scolopsis taeniata","Black-streaked monocle bream",5889,"Medium"
"605","Scomber australasicus","Blue mackerel",116,"Medium"
"606","Scomber colias","Atlantic chub mackerel",54736,"Medium"
"607","Scomber japonicus","Pacific chub mackerel",117,NA
"608","Scomberoides commersonnianus","Talang queenfish",1950,"Low"
"609","Scomberoides lysan","Doublespotted queenfish",1951,"Medium"
"610","Scomberomorus brasiliensis","Serra Spanish mackerel",119,"Medium"
"611","Scomberomorus cavalla","King mackerel",120,"Medium"
"612","Scomberomorus commerson","Narrow-barred Spanish mackerel",121,"Medium"
"613","Scomberomorus guttatus","Indo-Pacific king mackerel",123,"Medium"
"614","Scomberomorus maculatus","Atlantic Spanish mackerel",126,"Medium"
"615","Scomberomorus niphonius","Japanese Spanish mackerel",131,"Medium"
"616","Scomberomorus sierra","Pacific sierra",136,"Medium"
"617","Scomberomorus tritor","West African Spanish mackerel",141,"Medium"
"618","Scorpaena notata","Small red scorpionfish",1760,"Medium"
"619","Scorpaena sonorae","Sonora scorpionfish",14222,"Medium"
"620","Scyliorhinus canicula","Small-spotted catshark",845,"Low"
"621","Scylla serrata","Indo-Pacific swamp crab",NA,"High"
"622","Sebastes alutus","Pacific ocean perch",504,"Very low"
"623","Sebastes entomelas","Widow rockfish",502,"Very low"
"624","Sebastes flavidus","Yellowtail rockfish",503,"Low"
"625","Sebastes paucispinis","Bocaccio rockfish",3987,"Low"
"626","Sebastolobus alascanus","Shortspine thornyhead",4009,"Very low"
"627","Secutor insidiator","Pugnose ponyfish",NA,NA
"628","Selar crumenophthalmus","Bigeye scad",387,"High"
"629","Selaroides leptolepis","Yellowstripe scad",388,"High"
"630","Selene dorsalis","African moonfish",379,"High"
"631","Selene peruviana","Peruvian moonfish",1958,"High"
"632","Selene setapinnis","Atlantic moonfish",378,"Medium"
"633","Semele solida","Chilean semele",NA,NA
"634","Sepia officinalis","Common cuttlefish",NA,NA
"635","Sepia pharaonis","Pharaoh cuttlefish",NA,"High"
"636","Sepioteuthis lessoniana","Bigfin reef squid",NA,NA
"637","Seriola dumerili","Greater amberjack",1005,"Medium"
"638","Seriola lalandi","Yellowtail amberjack",382,"Low"
"639","Seriolella brama","Common warehou",12918,"Medium"
"640","Seriolella caerulea","White warehou",12919,"Medium"
"641","Seriolella punctata","Silver warehou",12922,"Medium"
"642","Seriolina nigrofasciata","Blackbanded trevally",1962,"Medium"
"643","Setipinna taty","Scaly hairfin anchovy",611,"Medium"
"644","Sicyonia brevirostris","Rock shrimp",NA,NA
"645","Sicyonia disdorsalis","Keeled rock shrimp",NA,NA
"646","Sillago sihama","Silver sillago",4544,"High"
"647","Solenocera florea","Flower shrimp",NA,NA
"648","Sparidentex hasta","Sobaity seabream",4499,"Low"
"649","Sparisoma cretense","Old parrotfish",13025,"Medium"
"650","Sparus aurata","Gilthead seabream",1164,"Medium"
"651","Sphyraena barracuda","Great barracuda",1235,"Low"
"652","Sphyrna lewini","Scalloped hammerhead",912,"Low"
"653","Sphyrna zygaena","Smooth hammerhead",917,"Low"
"654","Spicara maena","Blotched picarel",4887,"Medium"
"655","Spicara melanurus","Blackspot picarel",5079,"Medium"
"656","Spicara smaris","Picarel",1766,"Medium"
"657","Spisula solidissima","Atlantic surf clam",NA,NA
"658","Spondyliosoma cantharus","Black seabream",1356,"Medium"
"659","Spratelloides gracilis","Silver-stripe round herring",1458,"High"
"660","Squalus suckleyi","Pacific spiny dogfish",65869,"Very low"
"661","Squatina argentina","Argentine angelshark",727,"Very low"
"662","Squilla biformis","Squilla biformis",NA,NA
"663","Squilla mantis","Spottail mantis squillid",NA,NA
"664","Squilla panamensis","Panama mantis shrimp",NA,NA
"665","Squilla parva","Small mantis shrimp",NA,NA
"666","Stellifer rastrifer","Rake stardrum",1196,"Medium"
"667","Stenotomus chrysops","Scup",452,"Medium"
"668","Stephanolepis cirrhifer","Threadsail filefish",531,"Medium"
"669","Stomolophus meleagris","Cannonball jellyfish",NA,NA
"670","Stromateus fiatola","Blue butterfish",1198,"Medium"
"671","Strongylocentrotus droebachiensis","Green sea urchin",NA,NA
"672","Syacium ovale","Oval flounder",13978,"High"
"673","Synodus scituliceps","Shorthead lizardfish",14155,"Medium"
"674","Tautoga onitis","Tautog",458,"Low"
"675","Tegillarca granosa","Granular ark",NA,NA
"676","Tenualosa ilisha","Hilsa shad",1596,"Medium"
"677","Terapon jarbua","Jarbua terapon",4458,"Medium"
"678","Thenus orientalis","Flathead lobster",NA,NA
"679","Thryssa dussumieri","Dussumier's thryssa",586,"High"
"680","Thunnus albacares","Yellowfin tuna",143,"Medium"
"681","Thunnus atlanticus","Blackfin tuna",144,"Medium"
"682","Thunnus maccoyii","Southern bluefin tuna",145,"Low"
"683","Thunnus orientalis","Pacific bluefin tuna",14290,"Medium"
"684","Thunnus tonggol","Longtail tuna",148,"Low"
"685","Thyrsites atun","Snoek",489,"Medium"
"686","Tivela mactroides","Trigonal tivela",NA,NA
"687","Todarodes pacificus","Japanese flying squid",NA,"High"
"688","Todarodes sagittatus","European flying squid",NA,NA
"689","Trachinotus ovatus","Pompano",1773,"Medium"
"690","Trachinus draco","Greater weever",1363,"Medium"
"691","Trachurus capensis","Cape horse mackerel",5382,"Medium"
"692","Trachurus declivis","Greenback horse mackerel",372,"Medium"
"693","Trachurus japonicus","Japanese jack mackerel",366,"Medium"
"694","Trachurus lathami","Rough scad",369,"Medium"
"695","Trachurus mediterraneus","Mediterranean horse mackerel",1278,"Medium"
"696","Trachurus murphyi","Chilean jack mackerel",367,"Medium"
"697","Trachurus picturatus","Blue jack mackerel",1279,"Medium"
"698","Trachurus symmetricus","Pacific jack mackerel",368,"Low"
"699","Trachurus trecae","Cunene horse mackerel",371,"Medium"
"700","Trachysalambria curvirostris","Southern rough shrimp",NA,"High"
"701","Trichiurus lepturus","Largehead hairtail",1288,"Medium"
"702","Trichopsetta caribbaea","Caribbean flounder",7530,"Medium"
"703","Trisopterus luscus","Pouting",1367,"Medium"
"704","Trisopterus minutus","Poor cod",481,"Medium"
"705","Turbo cornutus","Horned turban",NA,NA
"706","Tylosurus crocodilus","Hound needlefish",977,"Medium"
"707","Umbrina canariensis","Canary drum",4548,"Medium"
"708","Umbrina canosai","Argentine croaker",413,"Medium"
"709","Umbrina cirrosa","Shi drum",1306,"Medium"
"710","Upeneus moluccensis","Goldband goatfish",4444,"Medium"
"711","Upeneus sulphureus","Sulphur goatfish",4445,"Medium"
"712","Upeneus vittatus","Yellowstriped goatfish",4821,"High"
"713","Urophycis brasiliensis","Brazilian codling",311,"Medium"
"714","Urophycis chuss","Red hake",312,"Medium"
"715","Urophycis tenuis","White hake",313,"Low"
"716","Venus verrucosa","Warty venus",NA,NA
"717","Xiphopenaeus kroyeri","Atlantic seabob",NA,NA
"718","Zeus faber","John dory",1370,"Medium"
"719","Zoarces viviparus","Eelpout",479,"Low"
"720","Zygochlamys patagonica","Patagonean scallop",NA,NA
"721","Ammodytes marinus","Lesser sand-eel",37,"Medium"
"722","Anguilla anguilla","European eel",35,"Low"
"723","Aphanopus carbo","Black scabbardfish",646,"Low"
"724","Argentina silus","Greater argentine",2700,"Low"
"725","Brosme brosme","Tusk",51,"Medium"
"726","Cetorhinus maximus","Basking shark",90,"Very low"
"727","Clupea pallasii pallasii","Pacific herring",1520,"Medium"
"728","Coryphaenoides rupestris","Roundnose grenadier",332,"Low"
"729","Engraulis encrasicolus","European anchovy",66,"Medium"
"730","Gadus macrocephalus","Pacific cod",308,"Low"
"731","Gadus morhua","Atlantic cod",69,"Medium"
"732","Galeorhinus galeus","Tope shark",4642,"Low"
"733","Ginglymostoma cirratum","Nurse shark",2532,"Low"
"734","Hoplostethus atlanticus","Orange roughy",334,"Very low"
"735","Lamna nasus","Porbeagle",88,"Very low"
"736","Lepidorhombus whiffiagonis","Megrim",28,"Medium"
"737","Limanda limanda","Common dab",695,"Medium"
"738","Lophius piscatorius","Angler",716,"Medium"
"739","Melanogrammus aeglefinus","Haddock",1381,"Medium"
"740","Merlangius merlangus","Whiting",29,"Medium"
"741","Molva dypterygia","Blue ling",1383,"Low"
"742","Molva molva","Ling",33,"Medium"
"743","Pagellus bogaraveo","Blackspot seabream",890,"Medium"
"744","Parophrys vetulus","English sole",4248,"Medium"
"745","Phycis blennoides","Greater forkbeard",1340,"Medium"
"746","Pleuronectes platessa","European plaice",1342,"Medium"
"747","Pollachius virens","Saithe",1343,"Medium"
"748","Reinhardtius hippoglossoides","Greenland halibut",516,"Low"
"749","Salmo trutta","Sea trout",238,"Medium"
"750","Sardina pilchardus","European pilchard",1350,"Medium"
"751","Sarotherodon galilaeus","Mango tilapia",1389,"Medium"
"752","Sarotherodon melanotheron","Blackchin tilapia",1412,"Medium"
"753","Scomber scombrus","Atlantic mackerel",118,"Medium"
"754","Scophthalmus maximus","Turbot",1348,"Medium"
"755","Scophthalmus rhombus","Brill",529,"Medium"
"756","Sebastes mentella","Beaked redfish",505,"Very low"
"757","Sebastes norvegicus","Golden redfish",501,"Low"
"758","Solea solea","Common sole",525,"Medium"
"759","Sprattus sprattus","European sprat",1357,"Medium"
"760","Squalus acanthias","Picked dogfish",139,"Very low"
"761","Thunnus alalunga","Albacore",142,"Medium"
"762","Thunnus obesus","Bigeye tuna",146,"Medium"
"763","Thunnus thynnus","Atlantic bluefin tuna",147,"Low"
"764","Trachurus trachurus","Atlantic horse mackerel",1365,"Medium"
"765","Trisopterus esmarkii","Norway pout",1023,"Medium"
"766","Xiphias gladius","Swordfish",226,"Medium"
"767","Clupea harengus","Atlantic herring",24,"Medium"
"768","Platichthys flesus","European flounder",1341,"Medium"
