Source,Species,Taxa,Continent,CulturalGroup,Biological status,Cultural status,Biocultural status
survey,Epinephelus marginatus,Fish,South America,Local community,Vulnerable,Not Threatened,Vulnerable
literature,Lagothrix lagothricha,Mammal,South America,Indigenous People,Vulnerable,Vulnerable,Vulnerable
survey,Tayassu pecari,Mammal,South America,Local community,Vulnerable,Not Threatened,Vulnerable
literature,Bombax ceiba,Plant,Asia,Ethnic group,Least Concern,Vulnerable,Vulnerable
literature,Catha edulis,Plant,Africa,Indigenous People,Least Concern,Vulnerable,Vulnerable
survey,Cordia sinensis,Plant,Africa,Ethnic group,Least Concern,Vulnerable,Vulnerable
survey,Elaeis guineensis,Plant,Africa,Ethnic group,Least Concern,Vulnerable,Vulnerable
survey,Ensete ventricosum,Plant,Africa,Ethnic group,Least Concern,Vulnerable,Vulnerable
survey,Ficus thonningii,Plant,Africa,Ethnic group,Least Concern,Vulnerable,Vulnerable
survey,Gnetum africanum,Plant,Africa,Ethnic group,Near Threatened,Vulnerable,Vulnerable
survey,Hyphaene compressa,Plant,Africa,Ethnic group,Least Concern,Vulnerable,Vulnerable
survey,Irvingia gabonensis,Plant,Africa,Indigenous People,Near Threatened,Vulnerable,Vulnerable
survey,Juglans regia,Plant,Africa,Ethnic group,Least Concern,Vulnerable,Vulnerable
survey,Moringa oleifera,Plant,Africa,Indigenous People,Least Concern,Vulnerable,Vulnerable
survey,Raphia hookeri,Plant,Africa,Ethnic group,Least Concern,Vulnerable,Vulnerable
survey,Salvadora persica,Plant,Africa,Ethnic group,Least Concern,Vulnerable,Vulnerable
survey,Sylvicapra grimmia,Mammal,Africa,Ethnic group,Least Concern,Vulnerable,Vulnerable
survey,Tetradenia riparia,Plant,Africa,Ethnic group,Least Concern,Vulnerable,Vulnerable
literature,Tragelaphus scriptus,Mammal,Africa,Ethnic group,Least Concern,Vulnerable,Vulnerable
survey,Borassus flabellifer,Plant,Asia,Indigenous People,Least Concern,Vulnerable,Vulnerable
survey,Boswellia sacra,Plant,Asia,Other socio-cultural group,Near Threatened,Vulnerable,Vulnerable
survey,Butea monosperma,Plant,Asia,Indigenous People,Least Concern,Vulnerable,Vulnerable
survey,Caryota urens,Plant,Asia,Indigenous People,Least Concern,Vulnerable,Vulnerable
survey,Dicrurus paradiseus,Bird,Asia,Indigenous People,Least Concern,Vulnerable,Vulnerable
literature,Ephedra sinica,Plant,Asia,Indigenous People,Least Concern,Vulnerable,Vulnerable
survey,Quercus griffithii,Plant,Asia,Indigenous People,Least Concern,Vulnerable,Vulnerable
literature,Sus scrofa,Mammal,Asia,Indigenous People,Least Concern,Vulnerable,Vulnerable
survey,Colocasia esculenta,Plant,North America,Indigenous People,Least Concern,Vulnerable,Vulnerable
literature,Delphinapterus leucas,Mammal,North America,Indigenous People,Least Concern,Vulnerable,Vulnerable
literature,Monodon monoceros,Mammal,North America,Indigenous People,Least Concern,Vulnerable,Vulnerable
literature,Cordia dichotoma,Plant,Oceania,Indigenous People,Least Concern,Vulnerable,Vulnerable
survey,Eucalyptus camaldulensis,Plant,Oceania,Indigenous People,Near Threatened,Vulnerable,Vulnerable
literature/survey,Gnetum gnemon,Plant,Oceania,Indigenous People,Least Concern,Vulnerable,Vulnerable
literature,Hydriastele costata,Plant,Oceania,Indigenous People,Least Concern,Vulnerable,Vulnerable
literature,Melaleuca quinquenervia,Plant,Oceania,Indigenous People,Least Concern,Vulnerable,Vulnerable
literature,Pometia pinnata,Plant,Oceania,Indigenous People,Least Concern,Vulnerable,Vulnerable
literature,Vatica rassak,Plant,Oceania,Indigenous People,Least Concern,Vulnerable,Vulnerable
survey,Agave americana,Plant,South America,Several socio-cultural groups,Least Concern,Vulnerable,Vulnerable
survey,Euterpe precatoria,Plant,South America,Indigenous People,Least Concern,Vulnerable,Vulnerable
survey,Iriartea deltoidea,Plant,South America,Indigenous People,Least Concern,Vulnerable,Vulnerable
survey,Panthera onca,Mammal,South America,Indigenous People,Near Threatened,Vulnerable,Vulnerable
survey,Rhea pennata,Bird,South America,Indigenous People,Least Concern,Vulnerable,Vulnerable
survey,Socratea exorrhiza,Plant,South America,Indigenous People,Least Concern,Vulnerable,Vulnerable
literature,Virola theiodora,Plant,South America,Indigenous People,Least Concern,Vulnerable,Vulnerable
literature/survey,Adansonia digitata,Plant,Africa,Ethnic group,Data Deficient,Vulnerable,Vulnerable
survey,Jumellea fragrans,Plant,Africa,Other socio-cultural group,Data Deficient,Vulnerable,Vulnerable
survey,Jumellea rossii,Plant,Africa,Other socio-cultural group,Data Deficient,Vulnerable,Vulnerable
literature,Mesembryanthemum tortuosum,Plant,Africa,Several socio-cultural groups,Data Deficient,Vulnerable,Vulnerable
survey,Arenga obtusifolia,Plant,Asia,Indigenous People,Data Deficient,Vulnerable,Vulnerable
survey,Arenga pinnata,Plant,Asia,Indigenous People,Data Deficient,Vulnerable,Vulnerable
survey,Calamus erectus,Plant,Asia,Indigenous People,Data Deficient,Vulnerable,Vulnerable
literature,Cannabis sativa,Plant,Asia,Ethnic group,Data Deficient,Vulnerable,Vulnerable
literature/survey,Cocos nucifera,Plant,Asia,Several socio-cultural groups,Data Deficient,Vulnerable,Vulnerable
survey,Cymbidium aloifolium,Plant,Asia,Indigenous People,Data Deficient,Vulnerable,Vulnerable
survey,Cymbidium bicolor,Plant,Asia,Indigenous People,Data Deficient,Vulnerable,Vulnerable
survey,Dendrobium fimbriatum,Plant,Asia,Indigenous People,Data Deficient,Vulnerable,Vulnerable
survey,Dendrocalamus hamiltonii,Plant,Asia,Indigenous People,Data Deficient,Vulnerable,Vulnerable
survey,Diospyros melanoxylon,Plant,Asia,Indigenous People,Data Deficient,Vulnerable,Vulnerable
survey,Gigantochloa apus,Plant,Asia,Indigenous People,Data Deficient,Vulnerable,Vulnerable
survey,Madhuca longifolia,Plant,Asia,Indigenous People,Data Deficient,Vulnerable,Vulnerable
survey,Rhynchotechum ellipticum,Plant,Asia,Indigenous People,Data Deficient,Vulnerable,Vulnerable
survey,Strongyleria pannea,Plant,Asia,Indigenous People,Data Deficient,Vulnerable,Vulnerable
survey,Bryoria fuscescens,Lichen,Europe,Indigenous People,Data Deficient,Vulnerable,Vulnerable
survey,Cladonia arbuscula,Lichen,Europe,Indigenous People,Data Deficient,Vulnerable,Vulnerable
survey,Cladonia rangiferina,Lichen,Europe,Indigenous People,Data Deficient,Vulnerable,Vulnerable
survey,Cladonia stellaris,Lichen,Europe,Indigenous People,Data Deficient,Vulnerable,Vulnerable
survey,Laelia autumnalis,Plant,North America,Indigenous People,Data Deficient,Vulnerable,Vulnerable
survey,Laelia superbiens,Plant,North America,Indigenous People,Data Deficient,Vulnerable,Vulnerable
literature,Lampetra tridentata,Fish,North America,Indigenous People,Data Deficient,Vulnerable,Vulnerable
survey,Prosthechea karwinskii,Plant,North America,Indigenous People,Data Deficient,Vulnerable,Vulnerable
literature,Rhodiola rosea,Plant,North America,Indigenous People,Data Deficient,Vulnerable,Vulnerable
survey,Tillandsia guatemalensis,Plant,North America,Indigenous People,Data Deficient,Vulnerable,Vulnerable
survey,Tillandsia lucida,Plant,North America,Indigenous People,Data Deficient,Vulnerable,Vulnerable
literature,Abelmoschus manihot,Plant,Oceania,Indigenous People,Data Deficient,Vulnerable,Vulnerable
survey,Agathis australis,Plant,Oceania,Several socio-cultural groups,Data Deficient,Vulnerable,Vulnerable
literature,Artocarpus altilis,Plant,Oceania,Indigenous People,Data Deficient,Vulnerable,Vulnerable
literature,Rhopaloblaste ledermanniana,Plant,Oceania,Indigenous People,Data Deficient,Vulnerable,Vulnerable
literature,Terminalia kaernbachii,Plant,Oceania,Indigenous People,Data Deficient,Vulnerable,Vulnerable
survey,Banisteriopsis caapi,Plant,South America,Indigenous People,Data Deficient,Vulnerable,Vulnerable
literature/survey,Brosimum alicastrum,Plant,South America,Indigenous People,Data Deficient,Vulnerable,Vulnerable
survey,Caryocar nuciferum,Plant,South America,Indigenous People,Data Deficient,Vulnerable,Vulnerable
survey,Chenopodium quinoa,Plant,South America,Indigenous People,Data Deficient,Vulnerable,Vulnerable
survey,Inonotus rickii,Fungi,South America,Indigenous People,Data Deficient,Vulnerable,Vulnerable
survey,Oenocarpus bataua,Plant,South America,Indigenous People,Data Deficient,Vulnerable,Vulnerable
survey,Phellorinia herculeana,Fungi,South America,Indigenous People,Data Deficient,Vulnerable,Vulnerable
survey,Podaxis pistillaris,Fungi,South America,Indigenous People,Data Deficient,Vulnerable,Vulnerable
survey,Prochilodus reticulatus,Fish,South America,Indigenous People,Data Deficient,Vulnerable,Vulnerable
survey,Psychotria viridis,Plant,South America,Indigenous People,Data Deficient,Vulnerable,Vulnerable
