FAO_name,exclude,Taxon_code,family,notes,notes_2
Grooved carpet shell,0,BI,Veneridae,NA,NA
Hooded oyster,0,BI,Ostreidae,NA,NA
Horned turban,0,GAST,Turbinidae,NA,NA
Horse mussels nei,0,BI,Mytilidae,NA,NA
Indian backwater oyster,0,BI,Ostreidae,NA,NA
Inflated ark,0,BI,Arcidae,NA,NA
Half-crenated ark,0,BI,Arcidae,NA,NA
Japanese abalone,0,GAST,Haliotidae,NA,NA
Japanese carpet shell,0,BI,Veneridae,NA,NA
Japanese hard clam,0,BI,Veneridae,NA,NA
Korean mussel,0,BI,Mytilidae,NA,NA
Mangrove cupped oyster,0,BI,Ostreidae,NA,NA
Mediterranean mussel,0,BI,Mytilidae,NA,NA
New Zealand mussel,0,BI,Mytilidae,NA,NA
Northern quahog(=Hard clam),0,BI,Veneridae,NA,NA
Olympia oyster,0,BI,Ostreidae,NA,NA
Oriental cyclina,1,BI,Veneridae,NA,NA
Pacific calico scallop,0,BI,Pectinidae,NA,NA
Pacific cupped oyster,0,BI,Ostreidae,NA,NA
Pacific geoduck,0,BI,Hiatellidae,NA,NA
Pacific horse clam,0,BI,Mactridae,NA,NA
Pacific lion's paw,0,BI,Pectinidae,NA,NA
Lion's paw,0,BI,Pectinidae,already present as Pacific lion's paw which is included,NA
Pacific littleneck clam,0,BI,Veneridae,NA,NA
Pearl oyster shells nei,0,BI,Pteriidae,NA,NA
Pen shells nei,0,BI,Pinnidae,NA,NA
Penguin wing oyster,0,BI,Pteriidae,NA,NA
Peppery furrow,0,BI,Semelidae,NA,NA
Periwinkles nei,0,GAST,Littorinidae,NA,NA
Perlemoen abalone,0,GAST,Haliotidae,NA,NA
Peruvian calico scallop,0,BI,Pectinidae,NA,NA
Pod razor shell,0,BI,Pharidae,NA,NA
Pullet carpet shell,0,BI,Veneridae,NA,NA
Queen conch,0,GAST,Strombidae,NA,NA
Queen scallop,0,BI,Pectinidae,NA,NA
Red abalone,0,GAST,Haliotidae,NA,NA
River Plata mussel,1,BI,Mytilidae,NA,NA
Rooster venus,0,BI,Veneridae,NA,NA
Sand gaper,0,BI,Myidae,NA,NA
Scallops nei,0,BI,Pectinidae,NA,NA
Sea mussels nei,0,BI,Mytilidae,NA,NA
Sea snails,0,GAST,Liparidae,NA,NA
Slipper cupped oyster,0,BI,Ostreidae,NA,NA
Smooth giant clam,0,BI,Cardiidae,NA,NA
Smooth mactra,0,BI,Mactridae,NA,NA
Solen razor clams nei,0,BI,Soleidae,NA,NA
South American rock mussel,0,BI,Mytilidae,NA,NA
Southern Australia scallop,0,BI,Pectinidae,NA,NA
Striped venus,0,BI,Veneridae,NA,NA
Stromboid conchs nei,0,GAST,Strombidae,NA,NA
Sydney cupped oyster,0,BI,Ostreidae,NA,NA
Tuberculate abalone,0,GAST,Haliotidae,NA,NA
Variegated scallop,0,BI,Pectinidae,NA,NA
Venus clams nei,0,BI,Veneridae,NA,NA
Warty venus,0,BI,Veneridae,NA,NA
Yesso scallop,0,BI,Pectinidae,NA,NA
Great Mediterranean scallop,0,BI,Pectinidae,NA,NA
Pacific asaphis,0,BI,Veneridae,NA,NA
Rough turban,0,GAST,Turbinidae,NA,NA
Broad geloina,0,BI,Arcidae,NA,NA
Rainbow abalone,0,GAST,Haliotidae,NA,NA
Olive green cockle,0,BI,Cardiidae,NA,NA
Common cuttlefish,0,CEPH,Sepiidae,NA,NA
Octopuses nei,0,CEPH,Octopodidae,NA,NA
"Octopuses, etc. nei",0,CEPH,Octopodidae,NA,NA
Blue crab,0,CRUST,Portunidae,NA,NA
Blue swimming crab,0,CRUST,Portunidae,NA,NA
Callinectes swimcrabs nei,0,CRUST,Portunidae,NA,NA
Flathead lobster,0,CRUST,Scyllaridae,NA,NA
Gazami crab,0,CRUST,Portunidae,NA,NA
Green crab,0,CRUST,Portunidae,NA,NA
Indo-Pacific swamp crab,0,CRUST,Portunidae,NA,NA
Japanese spiny lobster,0,CRUST,Palinuridae,NA,NA
Marine crabs nei,0,CRUST,Portunidae,NA,NA
Marine crustaceans nei,0,CRUST,Crustaceans,NA,NA
Mud spiny lobster,0,CRUST,Palinuridae,NA,NA
Natantian decapods nei,0,CRUST,Sergestidae,NA,NA
Orange mud crab,0,CRUST,Portunidae,NA,NA
Palinurid spiny lobsters nei,0,CRUST,Palinuridae,NA,NA
Portunus swimcrabs nei,0,CRUST,Portunidae,NA,NA
Spinous spider crab,0,CRUST,Portunidae,NA,NA
Spiny lobsters nei,0,CRUST,Palinuridae,NA,NA
"Swimming crabs, etc. nei",0,CRUST,Portunidae,NA,NA
Tropical spiny lobsters nei,0,CRUST,Palinuridae,NA,NA
Mediterranean shore crab,0,CRUST,Portunidae,NA,NA
Caribbean spiny lobster,0,CRUST,Palinuridae,NA,NA
Green mud crab,0,CRUST,Portunidae,NA,NA
[Boleophthalmus pectinirostris],1,F,Gobiidae,NA,NA
[Solea spp],0,F,Soleidae,NA,NA
Amberjacks nei,0,F,Carangidae,NA,NA
Arctic char,0,F,Salmonidae,NA,NA
Areolate grouper,0,F,Serranidae,NA,NA
Atipa,1,F,Eusiridae,NA,NA
Atlantic bluefin tuna,0,F,Scombridae,NA,NA
Atlantic cod,0,F,Gadidae,NA,NA
Atlantic halibut,0,F,Pleuronectidae,NA,NA
Atlantic salmon,0,F,Salmonidae,NA,NA
Atlantic spadefish,1,F,Ephippidae,NA,NA
Atlantic wolffish,0,F,Anarhichadidae,NA,NA
Bagrid catfish,1,F,Bagridae,freshwater,NA
North African catfish,1,F,Clariidae,freshwater,NA
Ballan wrasse,0,F,Labridae,NA,NA
Barramundi(=Giant seaperch),0,F,Latidae,NA,NA
Bastard halibut,0,F,Paralichthyidae,NA,NA
Bastard halibuts nei,0,F,Paralichthyidae,NA,NA
Big-scale sand smelt,0,F,Atherinidae,NA,NA
Bigeye trevally,0,F,Carangidae,NA,NA
Bighead carp,1,F,Cyprinidae,freshwater,NA
Black bullhead,1,F,Ictaluridae,freshwater,NA
Black catfishes nei,1,F,Ictaluridae,freshwater,NA
Black grouper,0,F,Serranidae,NA,NA
Black seabass,0,F,Serranidae,NA,NA
Blackchin tilapia,1,F,Cichlidae,NA,NA
Blackhead seabream,0,F,Sparidae,NA,NA
Blackspot(=red) seabream,0,F,Sparidae,NA,NA
Blackspot seabream,0,F,Sparidae,already present as Blackspot(=red) seabream which is included,NA
Twobar seabream,0,F,Sparidae,NA,NA
Blue tilapia,1,F,Cichlidae,NA,NA
Bluefish,0,F,Kyphosidae,NA,NA
Bluegill,1,F,Centrarchidae,NA,NA
Bluespot mullet,0,F,Mugilidae,NA,NA
Brill,0,F,Amaryllidaceae,NA,NA
Brown meagre,0,F,Sciaenidae,NA,NA
Brown-marbled grouper,0,F,Serranidae,NA,NA
Chars nei,0,F,Delphacidae,NA,NA
Chinook(=Spring=King) salmon,0,F,Salmonidae,NA,NA
Pink(=Humpback) salmon,0,F,Salmonidae,NA,NA
Chum(=Keta=Dog) salmon,0,F,Salmonidae,NA,NA
Cobia,0,F,Curculionidae,NA,NA
Coho(=Silver) salmon,0,F,Salmonidae,NA,NA
Common carp,1,F,Poaceae,NA,NA
Common dentex,0,F,Sparidae,NA,NA
Common pandora,0,F,Sparidae,NA,NA
Common snook,0,F,Centropomidae,NA,NA
Common sole,0,F,Soleidae,NA,NA
Common two-banded seabream,0,F,Sparidae,NA,NA
Crevalle jack,0,F,Carangidae,NA,NA
Crimson seabream,0,F,Sparidae,NA,NA
Red seabream,0,F,Sparidae,"already present as Crimson seabream which is included, included",NA
"Croakers, drums nei",0,F,Sciaenidae,NA,NA
Corvina drum,0,F,Sciaenidae,"already present as other drum species and other similar fish which are included, included",NA
Cyprinids nei,1,F,Cyprinidae,NA,NA
Daggertooth pike conger,0,F,Muraenesocidae,NA,NA
Dotted gizzard shad,0,F,Clupeidae,NA,NA
Drums nei,0,F,Sciaenidae,NA,NA
European eel,0,F,Anguillidae,NA,NA
European flounder,0,F,Pleuronectidae,NA,NA
European seabass,0,F,Moronidae,NA,NA
European whitefish,0,F,Salmonidae,NA,NA
Filefishes nei,0,F,Monacanthidae,NA,NA
"Filefishes, leatherjackets nei",0,F,Monacanthidae,NA,NA
Finfishes nei,0,F,Chaunacidae,NA,NA
Flatfishes nei,0,F,Citharidae,NA,NA
Flathead grey mullet,0,F,Mugilidae,NA,NA
Florida pompano,0,F,Carangidae,NA,NA
Fourfinger threadfin,0,F,Polynemidae,NA,NA
Freshwater fishes nei,1,F,Fish,freshwater,NA
Freshwater siluroids nei,1,F,Siluridae,freshwater,NA
Giant grouper,0,F,Serranidae,NA,NA
"Tiger-dragon grouper, hybrid",0,F,Serranidae,NA,NA
Gilthead seabream,0,F,Sparidae,NA,NA
Gobies nei,0,F,Gobiidae,NA,NA
Golden trevally,0,F,Carangidae,NA,NA
Goldlined seabream,0,F,Sparidae,NA,NA
Goldsilk seabream,0,F,Sparidae,NA,NA
Grass carp(=White amur),1,F,Cyprinidae,NA,NA
Greasy grouper,0,F,Serranidae,NA,NA
Great blue spotted mudskipper,1,F,Gobiidae,freshwater,NA
Greater amberjack,0,F,Carangidae,NA,NA
Green humphead parrotfish,0,F,Scaridae,NA,NA
Groundfishes nei,0,F,Fish,NA,NA
Groupers nei,0,F,Serranidae,NA,NA
"Groupers, seabasses nei",0,F,Serranidae,NA,NA
"Gudgeons, sleepers nei",0,F,Ptereleotridae,NA,NA
Haddock,0,F,Rutaceae,NA,NA
Hong Kong grouper,0,F,Serranidae,NA,NA
Humpback grouper,0,F,Serranidae,NA,NA
Indonesian snakehead,0,F,Channidae,NA,NA
"Jacks, crevalles nei",0,F,Carangidae,NA,NA
Japanese amberjack,0,F,Carangidae,NA,NA
Japanese eel,0,F,Anguillidae,NA,NA
Japanese jack mackerel,0,F,Carangidae,NA,NA
Japanese meagre,0,F,Sciaenidae,NA,NA
Japanese seabass,0,F,Lateolabracidae,NA,NA
Japanese seabream,0,F,Sparidae,NA,NA
John's snapper,0,F,Lutjanidae,NA,NA
Korean rockfish,0,F,Sebastidae,NA,NA
Large yellow croaker,0,F,Sciaenidae,NA,NA
Largemouth black bass,0,F,Centrarchidae,NA,NA
Lebranche mullet,0,F,Mugilidae,NA,NA
Lefteye flounders nei,0,F,Bothidae,NA,NA
Longfin yellowtail,0,F,Carangidae,NA,NA
Mackerels nei,0,F,Scombridae,NA,NA
Malabar grouper,0,F,Serranidae,NA,NA
Malabar trevally,0,F,Carangidae,NA,NA
Mangrove red snapper,0,F,Lutjanidae,NA,NA
Marble goby,0,F,Butidae,NA,NA
Marbled spinefoot,0,F,Siganidae,NA,NA
Marine fishes nei,0,F,Fish,NA,NA
Masu(=Cherry) salmon,0,F,Salmonidae,NA,NA
Meagre,0,F,Sciaenidae,NA,NA
Metapenaeus shrimps nei,0,F,Penaeidae,NA,NA
Mi-iuy (brown) croaker,0,F,Sciaenidae,NA,NA
Milkfish,0,F,Chanidae,NA,NA
Mojarras(=Silver-biddies) nei,0,F,Cichlidae,NA,NA
Mozambique tilapia,1,F,Cichlidae,NA,NA
Mullets nei,0,F,Apogonidae,NA,NA
[Mugil spp],0,F,Mugilidae,NA,NA
Nile perch,1,F,Centropomidae,NA,NA
Nile tilapia,1,F,Cichlidae,NA,NA
Okhotsk atka mackerel,0,F,Hexagrammidae,NA,NA
Orange-spotted grouper,0,F,Serranidae,NA,NA
Orbicular batfish,1,F,Ephippidae,NA,NA
Pacific bluefin tuna,0,F,Scombridae,NA,NA
Pangas catfishes nei,1,F,Pangasiidae,freshwater,NA
Papuan black snapper,0,F,Lutjanidae,NA,NA
Pargo breams nei,0,F,Sparidae,NA,NA
Percoids nei,0,F,Percoidea,NA,NA
Pollack,0,F,Gadidae,NA,NA
Pompano,0,F,Carangidae,NA,NA
Pompanos nei,0,F,Carangidae,NA,NA
"Porgies, seabreams nei",0,F,Sparidae,NA,NA
Rainbow trout,0,F,Salmonidae,NA,NA
Red drum,0,F,Sciaenidae,NA,NA
Red porgy,0,F,Sparidae,NA,NA
Red swamp crawfish,1,F,Cambaridae,freshwater,NA
Righteye flounders nei,0,F,Pleuronectidae,NA,NA
River eels nei,1,F,Anguillidae,freshwater,NA
Russell's snapper,0,F,Lutjanidae,NA,NA
Sabaki tilapia,1,F,Cichlidae,NA,NA
Salmonids nei,0,F,Salmonidae,NA,NA
Salmonoids nei,0,F,Salmonidae,NA,NA
Sargo breams nei,0,F,Sparidae,NA,NA
Scats,0,F,Rhinoprenidae,NA,NA
Sciaenas nei,0,F,Sciaenidae,NA,NA
"Scorpionfishes, redfishes nei",0,F,Scorpaenidae,NA,NA
Gulf snailfish,0,F,Liparidae,NA,NA
Sea trout,0,F,Sciaenidae,NA,NA
Seabasses nei,0,F,Serranidae,NA,NA
Senegalese sole,0,F,Soleidae,NA,NA
Sharpsnout seabream,0,F,Sparidae,NA,NA
Shi drum,0,F,Sciaenidae,NA,NA
Short-finned eel,1,F,Anguillidae,NA,NA
Silver barb,1,F,Cyprinidae,NA,NA
Silver carp,1,F,Cyprinidae,freshwater,NA
Silver seabream,1,F,Sparidae,NA,NA
Silversides(=Sand smelts) nei,1,F,Atherinidae,NA,NA
Sixfinger threadfin,0,F,Polynemidae,NA,NA
Snappers nei,0,F,Lutjanidae,NA,NA
"Snappers, jobfishes nei",0,F,Lutjanidae,NA,NA
Snooks(=Robalos) nei,0,F,Centropomidae,NA,NA
Snubnose pompano,0,F,Carangidae,NA,NA
So-iuy mullet,0,F,Mugilidae,NA,NA
Sobaity seabream,0,F,Sparidae,NA,NA
Sockeye(=Red) salmon,0,F,Salmonidae,NA,NA
Soles nei,0,F,Achiridae,NA,NA
Southern bluefin tuna,0,F,Scombridae,NA,NA
Spinefeet(=Rabbitfishes) nei,0,F,Siganidae,NA,NA
Spotted coralgrouper,0,F,Serranidae,NA,NA
Spotted rose snapper,0,F,Lutjanidae,NA,NA
Spotted seabass,0,F,Serranidae,NA,NA
Spotted wolffish,0,F,Anarhichadidae,NA,NA
Squaretail mullet,0,F,Mugilidae,NA,NA
Streaked spinefoot,0,F,Siganidae,NA,NA
"Striped bass, hybrid",0,F,Moronidae,NA,NA
Sturgeons nei,0,F,Acipenseridae,NA,NA
Tarpon,0,F,Centropomidae,NA,NA
Thinlip grey mullet,0,F,Mugilidae,NA,NA
Tiger pufferfish,0,F,Tetraodontidae,NA,NA
Tilapias nei,1,F,Cichlidae,NA,NA
Torpedo-shaped catfishes nei,1,F,Ictaluridae,freshwater,NA
Trumpet emperor,0,F,Lethrinidae,NA,NA
Turbot,0,F,Chernetidae,NA,NA
Two-spot red snapper,0,F,Lutjanidae,NA,NA
Waigieu seaperch,0,F,Latidae,NA,NA
White seabream,0,F,Sparidae,NA,NA
White trevally,0,F,Carangidae,NA,NA
White-spotted spinefoot,0,F,Siganidae,NA,NA
Whitemouth croaker,0,F,Sciaenidae,NA,NA
Yellowback seabream,0,F,Sparidae,NA,NA
Yellowfin seabream,0,F,Sparidae,NA,NA
Yellowfin tuna,0,F,Scombridae,NA,NA
Longrayed whiptail,0,F,Macrouridae,NA,NA
Yellowtail amberjack,0,F,Carangidae,NA,NA
Beluga,0,F,Monodontidae,NA,NA
Striped bass,0,F,Moronidae,NA,NA
Pink dentex,0,F,Sparidae,NA,NA
Trouts nei,0,F,Sciaenidae,NA,NA
Pufferfishes nei,0,F,Tetraodontidae,NA,NA
Emperor red snapper,0,F,Lutjanidae,NA,NA
Giant trevally,0,F,Carangidae,NA,NA
Starry sturgeon,0,F,Acipenseridae,NA,NA
Speckled longfin eel,0,F,Anguillidae,NA,NA
Malabar blood snapper,0,F,Lutjanidae,NA,NA
Crimson snapper,0,F,Lutjanidae,NA,NA
[Oplegnathus fasciatus],0,F,Oplegnathidae,NA,NA
Convict grouper,0,F,Serranidae,NA,NA
Jack and horse mackerels nei,0,F,Carangidae,NA,NA
Pacific chub mackerel,0,F,Scombridae,NA,NA
Potato grouper,0,F,Serranidae,NA,NA
Bluespotted seabream,0,F,Sparidae,NA,NA
Redbanded seabream,0,F,Sparidae,NA,NA
Aquatic invertebrates nei,0,INV,Invertabrates,NA,NA
Marine molluscs nei,0,GAST,Mollusca,NA,NA
[Trochita spp],1,GAST,Calyptraeidae,NA,NA
Japanese sea cucumber,0,NS-INV,Stichopodidae,NA,NA
Jellyfishes nei,0,NS-INV,Cassiopeidae,NA,NA
Sand fish,1,NS-INV,Holothuriidae,NA,NA
Sandfish,1,NS-INV,Trichodontidae,NA,NA
Sea cucumbers nei,0,NS-INV,Cucumriidae,NA,NA
American bull frog,0,OTHER,Ranidae,NA,NA
Green turtle,1,OTHER,Cheloniidae,freshwater/not eaten,NA
Akiami paste shrimp,0,SH,Sergestidae,NA,NA
Atlantic ditch shrimp,0,SH,Palaemonidae,NA,NA
Baltic prawn,0,SH,Palaemonidae,NA,NA
Banana prawn,0,SH,Penaeidae,NA,NA
Blue shrimp,0,SH,Penaeidae,NA,NA
Brine shrimp,0,SH,Artemiidae,NA,NA
Brine shrimps nei,0,SH,Artemiidae,NA,NA
Brown tiger prawn,0,SH,Penaeidae,NA,NA
Caramote prawn,0,SH,Penaeidae,NA,NA
Common prawn,0,SH,Palaemonidae,NA,NA
Eastern king prawn,0,SH,Penaeidae,NA,NA
Eastern school shrimp,0,SH,Penaeidae,NA,NA
Fleshy prawn,0,SH,Penaeidae,NA,NA
Giant river prawn,1,SH,Palaemonidae,freshwater,NA
Giant tiger prawn,0,SH,Penaeidae,NA,NA
Greasyback shrimp,0,SH,Penaeidae,NA,NA
Green tiger prawn,0,SH,Penaeidae,NA,NA
Indian white prawn,0,SH,Penaeidae,NA,NA
Kuruma prawn,0,SH,Penaeidae,NA,NA
Northern white shrimp,0,SH,Penaeidae,NA,NA
Palaemonid shrimps nei,0,SH,Palaemonidae,NA,NA
Penaeus shrimps nei,0,SH,Penaeidae,NA,NA
Redtail prawn,0,SH,Penaeidae,NA,NA
Southern white shrimp,0,SH,Penaeidae,NA,NA
Speckled shrimp,0,SH,Penaeidae,NA,NA
Whiteleg shrimp,0,SH,Penaeidae,NA,NA
Red bait,0,TUN,Pyuridae,NA,NA
Sea squirts nei,0,TUN,Pyuridae,NA,NA
Red oyas,0,TUN,Pyuridae,NA,NA
Sea urchins nei,0,URCH,Strongylocentrotidae,NA,NA
Stony sea urchin,0,URCH,Parechinidae,NA,NA
Paintpot cuttlefish,0,CEPH,Sepiidae,NA,NA
[Rhopilema esculentum],0,NS-INV,Rhizostomatidae,NA,NA
Squillids nei,0,SH,Squillidae,NA,NA
Golden-lined spinefoot,0,F,Siganidae,NA,NA
Mottled spinefoot,0,F,Siganidae,NA,NA
[Macrocystis integrifolia],0.001,AL,Algae,seaweed: human food/alginates,"- food use determined https://www.centralcoastbiodiversity.org/giant-perennial-kelp-bull-macrocystis-integrifolia.html
 - 1% proportion determined by best guess."
Corrugated venus,0,BI,Veneridae,NA,NA
Purple dye murex,0,GAST,Muricidae,NA,NA
Southern red snapper,0,F,Lutjanidae,NA,NA
Atl.jackknife(=Atl.razor clam),0,BI,Pharidae,NA,NA
[Cladosiphon okamuranus],0.1,AL,Algae,seaweed: human food/medicine,- food use determined https://en.wikipedia.org/wiki/Cladosiphon_okamuranus - sometimes used to treat cancer
[Eucheuma isiforme],0.8,AL,Solieriaceae,seaweed: human food/cosmetics/food processing,- non-food use determined using Wikipedia
Spotted scat,0,F,Scatophagidae,NA,NA
Red cusk-eel,1,F,Ophidiidae,NA,NA
Marine worms,1,GAST,Lineidae,NA,NA
Silver grunt,0,F,Haemulidae,NA,NA
Leister,1,OTHER,NA,NA,NA
[Scylla spp],0.9,GAST,Scyllaeidae,genus of nudibranchs,While some non-scientific sources mentioned that some people in the world [eat nudibranchs](https://atmosphereresorts.com/10-things-you-did-not-know-about-nudibranchs/#:~:text=Some%20humans%20actually%20eat%20nudibranchsas%20%E2%80%9Cchewing%20an%20eraser.%E2%80%9D) or sea slugs it doesn't seem like a prominent industry so I will estimate the exclusion value as 0.9
Skottsberg's gigartina,0.75,AL,Algae,seaweed: agar/carrageenan/human food,- non-food and food use determined using FAO (red algae in Indonesia and Portugal mostly agar-containing seaweeds) (The main uses of red seaweeds are as food and as sources of two hydrocolloids: agar and carrageenan):http://www.fao.org/3/a-y4765e.pdf
[Mystus nigriceps],1,F,Bagridae,freshwater,NA
[Polymesoda spp],0,BI,Cyrenidae,NA,NA
Banded grouper,0,F,Serranidae,NA,NA
Barred-chest grouper,0,F,Serranidae,NA,NA
Black jack,0,F,Carangidae,NA,NA
Black pomfret,0,F,Carangidae,NA,NA
Blackbanded trevally,0,F,Carangidae,NA,NA
Blacksaddled coralgrouper,0,F,Serranidae,NA,NA
Blacktail snapper,0,F,Lutjanidae,NA,NA
Bludger,0,F,Carangidae,NA,NA
Blue sea chub,0,F,Kyphosidae,NA,NA
Bluefin trevally,0,F,Carangidae,NA,NA
Bluespotted trevally,1,F,Carangidae,NA,excluded because poisonous and mainly caught as bycatch
Blunt slipper lobster,0,CRUST,Scylaridae,NA,NA
Brassy trevally,0,F,Carangidae,NA,NA
Cachama,1,F,Serrasalmidae,freshwater,NA
Climbing perch,1,F,Anabantidae,freshwater,NA
Deep-water redfish,0,F,Scorpaenidae,NA,NA
Deepwater longtail red snapper,0,F,Lutjanidae,NA,NA
Duskytail grouper,0,F,Serranidae,NA,NA
Foursaddle grouper,0,F,Serranidae,NA,NA
Giant gourami,1,F,Osphronemidae,freshwater,NA
Green sea feather,0.2,AL,Caulerpaceae,used as food and medicine,- food use determined https://sealifebase.nrm.se/summary/Caulerpa-sertularioides.html
Greenback mullet,0,F,Mugilidae,NA,NA
Harry hotlips,0,F,Haemulidae,NA,NA
Hawaiian ladyfish,0,F,Elopidae,NA,NA
Highfin coralgrouper,0,F,Serranidae,NA,NA
Highfin grouper,0,F,Serranidae,NA,NA
Humphead snapper,0,F,Lutjanidae,NA,NA
Jawla paste shrimp,0,SH,Sergestidae,NA,NA
Leopard coralgrouper,0,F,Serranidae,NA,NA
Longfin trevally,0,F,Carangidae,NA,NA
Longlegged spiny lobster,0,CRUST,Palinuridae,NA,NA
Longnose trevally,0,F,Carangidae,NA,NA
Longspine grouper,0,F,Serranidae,NA,NA
Masked grouper,0,F,Serranidae,NA,NA
Minstrel sweetlips,0,F,Haemulidae,NA,NA
Northern velvet shrimp,0,SH,Penaeidae,NA,NA
Pangas catfish,1,F,Pangasiidae,NA,excluded because it is primarily freshwater though can be brackish
Philippine catfish,0,F,Clariidae,NA,NA
Scalloped spiny lobster,0,CRUST,Palinuridae,NA,NA
Small-scaled terapon,0,F,Terapontidae,NA,NA
Speckled blue grouper,0,F,Serranidae,NA,NA
Spotty-face anchovy,0,F,Engraulidae,NA,NA
Squaretail coralgrouper,0,F,Serranidae,NA,NA
Striped snakehead,0,F,Channidae,NA,NA
White-edged lyretail,0,F,Serranidae,NA,NA
Yellowspotted trevally,0,F,Carangidae,NA,NA
[Pomadasys spp],0,F,Haemulidae,NA,NA
Barcoo grunter,1,F,Terapontidae,freshwater,NA
Blacktip grouper,0,F,Serranidae,NA,NA
Commercial top,1,GAST,Tegulidae,NA,"excluded because it is primarily harvested for its shell, though it can be eaten https://en.wikipedia.org/wiki/Rochia_nilotica"
Desert dace,1,F,Cyprinidae,freshwater,NA
SOLIERIACEAE,0.75,AL,Algae,NA,- used red seaweed include value
BANGIACEAE,0.01,AL,Algae,NA,"- food use determined, wikipedia mentions wide food use https://en.wikipedia.org/wiki/Bangiaceae"
RHIZOSTOMIDAE,0,NS-INV,Rhizostomatidae,NA,NA
BAGRIDAE,1,F,Bagridae,primarily freshwater,NA
CORBICULIDAE,0,BI,Corbiculiade,NA,NA
SARGASSACEAE,0.9,AL,Algae,NA,- used sargassum spp value
MUGILIDAE,0,F,Mugilidae,NA,NA
OPLEGNATHIDAE,0,F,Oplegnathidae,NA,NA
ULOTRICHACEAE,0.15,AL,Algae,NA,- used overall seaweed exclude value due to lack of available information on the species
HAEMULIDAE,0,F,Haemulidae,NA,NA
GIGARTINACEAE,0.75,AL,Algae,NA,- used red seaweed include value
LESSONIACEAE,0.5,AL,Algae,NA,- used same exclude value as kelp nei
SOLEIDAE,0,F,Soleidae,NA,NA
OSCILLATORIACEAE,1,AL,Algae,NA,- excluded as is typically freshwater https://en.wikipedia.org/wiki/Oscillatoria
DUNALIELLACEAE,0.15,AL,Algae,NA,- used overall seaweed exclude value due to lack of more information
PORTUNIDAE,0,CRUST,Portunidae,NA,NA
CHORDARIACEAE,0.5,AL,Algae,seaweed: human food/alginate,- used brown seaweed include value
CALYPTRAEIDAE,1,GAST,Calyptraeidae,NA,seems like they are mainly an invasive though there are attempts to market some species as food https://en.wikipedia.org/wiki/Crepidula_fornicata https://en.wikipedia.org/wiki/Calyptraeidae
