"","sciname","common","SpecCode","Resilience"
"480","Trachysalambria curvirostris","Southern rough shrimp",NA,"High"
"481","Trichiurus lepturus","Largehead hairtail",1288,"Medium"
"482","Trisopterus luscus","Pouting",1367,"Medium"
"483","Turbo cornutus","Horned turban",NA,NA
"484","Umbrina canosai","Argentine croaker",413,"Medium"
"485","Urophycis brasiliensis","Brazilian codling",311,"Medium"
"486","Urophycis chuss","Red hake",312,"Medium"
"487","Urophycis tenuis","White hake",313,"Low"
"488","Valamugil seheli","Bluespot mullet",NA,NA
"489","Venus (=Chamelea) gallina","Striped venus",NA,NA
"490","Zeus faber","John dory",1370,"Medium"
"491","Zoarces americanus","Ocean pout",480,"Low"
"492","Zoarces viviparus","Viviparous blenny",479,"Low"
"493","Zygochlamys patagonica","Patagonean scallop",NA,NA
"494","Aphanopus carbo","Black scabbardfish",646,"Low"
"495","Argentina silus","Greater argentine",2700,"Low"
"496","Carcharhinus limbatus","Blacktip shark",874,"Low"
"497","Cetorhinus maximus","Basking shark",90,"Very low"
"498","Clupea pallasii pallasii","Pacific herring",1520,"Medium"
"499","Coryphaenoides rupestris","Roundnose grenadier",332,"Low"
"500","Engraulis encrasicolus","European anchovy",66,"Medium"
"501","Gadus macrocephalus","Pacific cod",308,"Low"
"502","Gadus morhua","Atlantic cod",69,"Medium"
"503","Galeorhinus galeus","Tope shark",4642,"Low"
"504","Hoplostethus atlanticus","Orange roughy",334,"Very low"
"505","Lepidorhombus whiffiagonis","Megrim",28,"Medium"
"506","Limanda limanda","Dab",695,"Medium"
"507","Lophius piscatorius","Angler",716,"Medium"
"508","Melanogrammus aeglefinus","Haddock",1381,"Medium"
"509","Merlangius merlangus","Whiting",29,"Medium"
"510","Molva dypterygia","Blue ling",1383,"Low"
"511","Molva molva","Ling",33,"Medium"
"512","Pagellus bogaraveo","Blackspot seabream",890,"Medium"
"513","Phycis blennoides","Greater forkbeard",1340,"Medium"
"514","Pleuronectes platessa","European plaice",1342,"Medium"
"515","Pollachius virens","Saithe",1343,"Medium"
"516","Reinhardtius hippoglossoides","Greenland halibut",516,"Low"
"517","Salmo salar","Atlantic salmon",236,"Medium"
"518","Sardina pilchardus","European pilchard",1350,"Medium"
"519","Scomber scombrus","Atlantic mackerel",118,"Medium"
"520","Scophthalmus rhombus","Brill",529,"Medium"
"521","Sebastes mentella","Deepwater redfish",505,"Very low"
"522","Solea solea","Common sole",525,"Medium"
"523","Sprattus sprattus","European sprat",1357,"Medium"
"524","Squalus acanthias","Piked dogfish",139,"Very low"
"525","Thunnus alalunga","Albacore",142,"Medium"
"526","Thunnus obesus","Bigeye tuna",146,"Medium"
"527","Thunnus thynnus","Atlantic bluefin tuna",147,"Low"
"528","Trachurus trachurus","Atlantic horse mackerel",1365,"Medium"
"529","Trisopterus esmarkii","Norway pout",1023,"Medium"
"530","Xiphias gladius","Swordfish",226,"Medium"
"531","Brosme brosme","Tusk",51,"Medium"
"532","Clupea harengus","Atlantic herring",24,"Medium"
"533","Platichthys flesus","Flounder",1341,"Medium"
