"","sciname","common","Resilience","SpecCode"
"502","Pentanemus quinquarius","Royal threadfin","High",342
"503","Pentheroscion mbizi","Mbizi croaker","Medium",5000
"504","Peprilus triacanthus","Atlantic butterfish","High",492
"505","Perca fluviatilis","European perch","Low",358
"506","Percophis brasiliensis","Brazilian flathead","Medium",465
"507","Perna canaliculus","New Zealand green mussel",NA,NA
"508","Perna viridis","Brown mussel",NA,NA
"509","Petromyzon marinus","Sea lamprey","Low",2530
"510","Photopectoralis bindus","Orangefin ponyfish","High",4449
"511","Phycis phycis","Forkbeard","Medium",1747
"512","Placopecten magellanicus","American sea scallop",NA,NA
"513","Platycephalus indicus","Bartail flathead","Medium",950
"514","Plectorhinchus macrolepis","Biglip grunt","Medium",9908
"515","Plectorhinchus mediterraneus","Rubberlip grunt","Medium",398
"516","Pleoticus muelleri","Argentine red shrimp","High",25468
"517","Plesionika trispinus","Pacific deepwater shrimp",NA,NA
"518","Plesiopenaeus edwardsianus","Scarlet shrimp",NA,NA
"519","Pleurogrammus azonus","Okhotsk atka mackerel","Medium",510
"520","Pleurogrammus monopterygius","Atka mackerel","Low",4037
"521","Pleuroncodes monodon","Squat Lobster",NA,NA
"522","Pogonias cromis","Black drum","Medium",425
"523","Pollachius pollachius","Pollack","Medium",34
"524","Polydactylus quadrifilis","Giant African threadfin","Medium",5002
"525","Polynemus paradiseus","Paradise threadfin","High",8318
"526","Pomadasys incisus","Bastard grunt","Medium",5003
"527","Pomadasys jubelini","Sompat grunt","Medium",4708
"528","Pomadasys kaakan","Javelin grunter","Medium",6006
"529","Pomadasys stridens","Striped piggy","Medium",7708
"530","Pomatomus saltatrix","Bluefish","Medium",364
"531","Porichthys analis","Darkedge midshipman","Medium",13547
"532","Porichthys margaritatus","Daisy midshipman","Medium",8220
"533","Porichthys porosissimus","South American toadfish","Medium",12925
"534","Portunus pelagicus","Blue swimming crab","High",9329
"535","Portunus trituberculatus","Gazami crab","High",83565
"536","Portunus xantusii","Xantus swimcrab",NA,NA
"537","Priacanthus arenatus","Atlantic bigeye","High",1149
"538","Priacanthus macracanthus","Red bigeye","Medium",356
"539","Prionace glauca","Blue shark","Low",898
"540","Prionotus stephanophrys","Lumptail searobin","Medium",4029
"541","Protonibea diacanthus","Blackspotted croaker","Medium",4571
"542","Psenopsis anomala","Pacific rudderfish","Medium",497
"543","Psettodes erumei","Indian halibut","Medium",513
"544","Pseudobatos planiceps","Pacific guitarfish","Low",149
"545","Pseudopercis semifasciata","Argentinian sandperch","Low",50136
"546","Pseudophycis bachus","Red codling","Medium",2020
"547","Pseudopleuronectes americanus","Winter flounder","Medium",524
"548","Pseudopleuronectes herzensteini","Yellow striped flounder","Medium",8556
"549","Pseudotolithus elongatus","Bobo croaker","Medium",433
"550","Pseudotolithus senegalensis","Cassava croaker","Medium",432
"551","Pseudotolithus senegallus","Law croaker","Low",5009
"552","Pseudotolithus typus","Longneck croaker","Medium",4550
"553","Pseudupeneus prayensis","West African goatfish","High",453
"554","Pterogymnus laniarius","Panga seabream","Low",448
"555","Pteroscion peli","Boe drum","Medium",423
"556","Pterotolithus maculatus","Blotched tiger-toothed croaker","Medium",8393
"557","Pyura chilensis","Red sea squirt",NA,NA
"558","Rachycentron canadum","Cobia","Medium",3542
"559","Raja clavata","Thornback ray","Low",2059
"560","Rastrelliger brachysoma","Short mackerel","High",109
"561","Rastrelliger kanagurta","Indian mackerel","Medium",111
"562","Rexea solandri","Silver gemfish","Medium",8490
"563","Rhabdosargus sarba","Goldlined seabream","Medium",5368
"564","Rhinobatos percellens","Chola guitarfish",NA,NA
"565","Rhizoprionodon terraenovae","Atlantic sharpnose shark","Very low",905
"566","Rhizostoma pulmo","Barrel jellyfish",NA,NA
"567","Rhizostomeae","Oral arm jellyfishes",NA,NA
"568","Rhomboplites aurorubens","Vermilion snapper","Medium",213
"569","Ruditapes philippinarum","Japanese carpet shell",NA,NA
"570","Rutilus rutilus","Roach","Medium",272
"571","Ruvettus pretiosus","Oilfish","Low",1044
"572","Salilota australis","Tadpole codling","Medium",306
"573","Salmo salar","Atlantic salmon",NA,236
"574","Salvelinus alpinus alpinus","Arctic char",NA,NA
"575","Sander lucioperca","Pike-perch","Low",360
"576","Sarda chiliensis lineolata","Pacific bonito",NA,NA
"577","Sarda chiliensis","Eastern Pacific bonito","Medium",113
"578","Sarda sarda","Atlantic bonito","Medium",115
"579","Sardinella albella","White sardinella","High",1502
"580","Sardinella aurita","Round sardinella","High",1043
"581","Sardinella brasiliensis","Brazilian sardinella","High",1505
"582","Sardinella fimbriata","Fringescale sardinella","High",1507
"583","Sardinella gibbosa","Goldstripe sardinella","High",1508
"584","Sardinella lemuru","Bali sardinella","High",1510
"585","Sardinella longiceps","Indian oil sardine","Medium",1511
"586","Sardinella maderensis","Madeiran sardinella","Medium",1047
"587","Sardinella sindensis","Sind sardinella","High",1517
"588","Sardinella zunasi","Japanese sardinella","High",1519
"589","Sardinops sagax","South American pilchard","Medium",1477
"590","Sarpa salpa","Salema","Low",204
"591","Saurida tumbil","Greater lizardfish","Medium",6479
"592","Sciades parkeri","Gillbacker sea catfish","High",952
"593","Sciades proops","Crucifix sea catfish","High",955
"594","Sciaenops ocellatus","Red drum","Medium",1191
"595","Scolopsis taeniata","Black-streaked monocle bream","Medium",5889
"596","Scomber australasicus","Blue mackerel","Medium",116
"597","Scomber colias","Atlantic chub mackerel","Medium",54736
"598","Scomber japonicus","Pacific chub mackerel",NA,117
"599","Scomberoides commersonnianus","Talang queenfish","Low",1950
"600","Scomberoides lysan","Doublespotted queenfish","Medium",1951
"601","Scomberomorus brasiliensis","Serra Spanish mackerel","Medium",119
"602","Scomberomorus cavalla","King mackerel","Medium",120
"603","Scomberomorus commerson","Narrow-barred Spanish mackerel","Medium",121
"604","Scomberomorus guttatus","Indo-Pacific king mackerel","Medium",123
"605","Scomberomorus maculatus","Atlantic Spanish mackerel","Medium",126
"606","Scomberomorus niphonius","Japanese Spanish mackerel","Medium",131
"607","Scomberomorus sierra","Pacific sierra","Medium",136
"608","Scomberomorus tritor","West African Spanish mackerel","Medium",141
"609","Scorpaena notata","Small red scorpionfish","Medium",1760
"610","Scorpaena sonorae","Sonora scorpionfish","Medium",14222
"611","Scyliorhinus canicula","Small-spotted catshark","Low",845
"612","Scylla serrata","Indo-Pacific swamp crab","High",21355
"613","Sebastes alutus","Pacific ocean perch","Very low",504
"614","Sebastes entomelas","Widow rockfish","Very low",502
"615","Sebastes flavidus","Yellowtail rockfish","Low",503
"616","Sebastes paucispinis","Bocaccio rockfish","Low",3987
"617","Sebastolobus alascanus","Shortspine thornyhead","Very low",4009
"618","Secutor insidiator","Pugnose ponyfish",NA,NA
"619","Selar crumenophthalmus","Bigeye scad","High",387
"620","Selaroides leptolepis","Yellowstripe scad","High",388
"621","Selene dorsalis","African moonfish","High",379
"622","Selene peruviana","Peruvian moonfish","High",1958
"623","Selene setapinnis","Atlantic moonfish","Medium",378
"624","Semele solida","Chilean semele",NA,NA
"625","Sepia officinalis","Common cuttlefish",NA,NA
"626","Sepia pharaonis","Pharaoh cuttlefish","High",57301
"627","Sepioteuthis lessoniana","Bigfin reef squid",NA,NA
"628","Seriola dumerili","Greater amberjack","Medium",1005
"629","Seriola lalandi","Yellowtail amberjack","Low",382
"630","Seriolella brama","Common warehou","Medium",12918
"631","Seriolella caerulea","White warehou","Medium",12919
"632","Seriolella punctata","Silver warehou","Medium",12922
"633","Seriolina nigrofasciata","Blackbanded trevally","Medium",1962
"634","Setipinna taty","Scaly hairfin anchovy","Medium",611
"635","Sicyonia brevirostris","Rock shrimp",NA,NA
"636","Sicyonia disdorsalis","Keeled rock shrimp",NA,NA
"637","Sillago sihama","Silver sillago","High",4544
"638","Solenocera florea","Flower shrimp",NA,NA
"639","Sparidentex hasta","Sobaity seabream","Low",4499
"640","Sparisoma cretense","Old parrotfish","Medium",13025
"641","Sparus aurata","Gilthead seabream","Medium",1164
"642","Sphyraena barracuda","Great barracuda","Low",1235
"643","Sphyrna lewini","Scalloped hammerhead","Low",912
"644","Sphyrna zygaena","Smooth hammerhead","Low",917
"645","Spicara maena","Blotched picarel","Medium",4887
"646","Spicara melanurus","Blackspot picarel","Medium",5079
"647","Spicara smaris","Picarel","Medium",1766
"648","Spisula solidissima","Atlantic surf clam",NA,NA
"649","Spondyliosoma cantharus","Black seabream","Medium",1356
"650","Spratelloides gracilis","Silver-stripe round herring","High",1458
"651","Squalus suckleyi","Pacific spiny dogfish","Very low",65869
"652","Squatina argentina","Argentine angelshark","Very low",727
"653","Squilla biformis","Squilla biformis",NA,NA
"654","Squilla mantis","Spottail mantis squillid",NA,NA
"655","Squilla panamensis","Panama mantis shrimp",NA,NA
"656","Squilla parva","Small mantis shrimp",NA,NA
"657","Stellifer rastrifer","Rake stardrum","Medium",1196
"658","Stenotomus chrysops","Scup","Medium",452
"659","Stephanolepis cirrhifer","Threadsail filefish","Medium",531
"660","Stomolophus meleagris","Cannonball jellyfish",NA,NA
"661","Stromateus fiatola","Blue butterfish","Medium",1198
"662","Strongylocentrotus droebachiensis","Green sea urchin",NA,NA
"663","Syacium ovale","Oval flounder","High",13978
"664","Synodus scituliceps","Shorthead lizardfish","Medium",14155
"665","Tautoga onitis","Tautog","Low",458
"666","Tegillarca granosa","Granular ark",NA,NA
"667","Tenualosa ilisha","Hilsa shad","Medium",1596
"668","Terapon jarbua","Jarbua terapon","Medium",4458
"669","Thenus orientalis","Flathead lobster",NA,NA
"670","Theragra chalcogramma","Alaska pollock",NA,NA
"671","Thryssa dussumieri","Dussumier's thryssa","High",586
"672","Thunnus albacares","Yellowfin tuna","Medium",143
"673","Thunnus atlanticus","Blackfin tuna","Medium",144
"674","Thunnus maccoyii","Southern bluefin tuna","Low",145
"675","Thunnus orientalis","Pacific bluefin tuna","Medium",14290
"676","Thunnus tonggol","Longtail tuna","Low",148
"677","Thyrsites atun","Snoek","Medium",489
"678","Tivela mactroides","Trigonal tivela",NA,NA
"679","Todarodes pacificus","Japanese flying squid","High",58009
"680","Todarodes sagittatus","European flying squid",NA,NA
"681","Trachinotus ovatus","Pompano","Medium",1773
"682","Trachinus draco","Greater weever","Medium",1363
"683","Trachurus capensis","Cape horse mackerel","Medium",5382
"684","Trachurus declivis","Greenback horse mackerel","Medium",372
"685","Trachurus japonicus","Japanese jack mackerel","Medium",366
"686","Trachurus lathami","Rough scad","Medium",369
"687","Trachurus mediterraneus","Mediterranean horse mackerel","Medium",1278
"688","Trachurus murphyi","Chilean jack mackerel","Medium",367
"689","Trachurus picturatus","Blue jack mackerel","Medium",1279
"690","Trachurus symmetricus","Pacific jack mackerel","Low",368
"691","Trachurus trecae","Cunene horse mackerel","Medium",371
"692","Trachysalambria curvirostris","Southern rough shrimp","High",14908
"693","Trichiurus lepturus","Largehead hairtail","Medium",1288
"694","Trichopsetta caribbaea","Caribbean flounder","Medium",7530
"695","Trisopterus luscus","Pouting","Medium",1367
"696","Trisopterus minutus","Poor cod","Medium",481
"697","Turbo cornutus","Horned turban",NA,NA
"698","Tylosurus crocodilus","Hound needlefish","Medium",977
"699","Umbrina canariensis","Canary drum","Medium",4548
"700","Umbrina canosai","Argentine croaker","Medium",413
"701","Umbrina cirrosa","Shi drum","Medium",1306
"702","Upeneus moluccensis","Goldband goatfish","Medium",4444
"703","Upeneus sulphureus","Sulphur goatfish","Medium",4445
"704","Upeneus vittatus","Yellowstriped goatfish","High",4821
"705","Urophycis brasiliensis","Brazilian codling","Medium",311
"706","Urophycis chuss","Red hake","Medium",312
"707","Urophycis tenuis","White hake","Low",313
"708","Venus verrucosa","Warty venus",NA,NA
"709","Xiphopenaeus kroyeri","Atlantic seabob",NA,NA
"710","Zeus faber","John dory","Medium",1370
"711","Zoarces viviparus","Eelpout","Low",479
"712","Zygochlamys patagonica","Patagonean scallop",NA,NA
"713","Ammodytes marinus","Lesser sand-eel","Medium",37
"714","Anguilla anguilla","European eel","Low",35
"715","Aphanopus carbo","Black scabbardfish","Low",646
"716","Argentina silus","Greater argentine","Low",2700
"717","Brosme brosme","Tusk","Medium",51
"718","Cetorhinus maximus","Basking shark","Very low",90
"719","Clupea pallasii pallasii","Pacific herring","Medium",1520
"720","Coryphaenoides rupestris","Roundnose grenadier","Low",332
"721","Engraulis encrasicolus","European anchovy","Medium",66
"722","Gadus macrocephalus","Pacific cod","Low",308
"723","Gadus morhua","Atlantic cod","Medium",69
"724","Galeorhinus galeus","Tope shark","Low",4642
"725","Ginglymostoma cirratum","Nurse shark","Low",2532
"726","Hoplostethus atlanticus","Orange roughy","Very low",334
"727","Lamna nasus","Porbeagle","Very low",88
"728","Lepidorhombus whiffiagonis","Megrim","Medium",28
"729","Limanda limanda","Common dab","Medium",695
"730","Lophius piscatorius","Angler","Medium",716
"731","Melanogrammus aeglefinus","Haddock","Medium",1381
"732","Merlangius merlangus","Whiting","Medium",29
"733","Molva dypterygia","Blue ling","Low",1383
"734","Molva molva","Ling","Medium",33
"735","Pagellus bogaraveo","Blackspot seabream","Medium",890
"736","Parophrys vetulus","English sole","Medium",4248
"737","Phycis blennoides","Greater forkbeard","Medium",1340
"738","Pleuronectes platessa","European plaice","Medium",1342
"739","Pollachius virens","Saithe","Medium",1343
"740","Reinhardtius hippoglossoides","Greenland halibut","Low",516
"741","Salmo trutta","Sea trout","Medium",238
"742","Sardina pilchardus","European pilchard","Medium",1350
"743","Sarotherodon galilaeus","Mango tilapia","Medium",1389
"744","Scomber scombrus","Atlantic mackerel","Medium",118
"745","Scophthalmus maximus","Turbot","Medium",1348
"746","Scophthalmus rhombus","Brill","Medium",529
"747","Sebastes mentella","Beaked redfish","Very low",505
"748","Sebastes norvegicus","Golden redfish","Low",501
"749","Solea solea","Common sole","Medium",525
"750","Sprattus sprattus","European sprat","Medium",1357
"751","Squalus acanthias","Picked dogfish","Very low",139
"752","Thunnus alalunga","Albacore","Medium",142
"753","Thunnus obesus","Bigeye tuna","Medium",146
"754","Thunnus thynnus","Atlantic bluefin tuna","Low",147
"755","Trachurus trachurus","Atlantic horse mackerel","Medium",1365
"756","Trisopterus esmarkii","Norway pout","Medium",1023
"757","Xiphias gladius","Swordfish","Medium",226
"758","Clupea harengus","Atlantic herring","Medium",24
"759","Platichthys flesus","European flounder","Medium",1341
